Date,PM2.5,PM10,CO,SO2,O3,AQI,AQI_Bucket
6/14/2020,71.08,150.28,1.04,13.57,38.86,147,Moderate
6/15/2020,48.69,120.23,0.88,12.57,48.39,130,Moderate
6/16/2020,39.87,107.99,0.88,12.08,51.4,126,Moderate
6/17/2020,34.35,92.58,0.78,10.84,48.72,110,Moderate
6/18/2020,36.84,100.62,0.82,12.19,47.98,107,Moderate
6/19/2020,57.6,205.56,0.86,11.98,40.95,132,Moderate
6/20/2020,35.96,108.73,0.8,10.98,36.24,158,Moderate
6/21/2020,39.7,95.63,0.85,11.71,33.92,105,Moderate
6/22/2020,39.47,77.48,0.91,11.08,42.76,104,Moderate
6/23/2020,29.02,64.12,0.88,11.09,28.64,85,Satisfactory
6/24/2020,30.91,62.61,0.89,11.02,24.77,71,Satisfactory
6/25/2020,38.37,77.76,1.02,11.28,25.92,86,Satisfactory
6/26/2020,50.01,112.08,1.01,11.66,24.82,104,Moderate
6/27/2020,39.8,155.94,0.87,10.38,18.88,112,Moderate
6/28/2020,59.52,308.65,0.94,10.7,18.05,196,Moderate
6/29/2020,44.86,184.12,0.88,11.58,26.61,233,Poor
6/30/2020,39.8,91.98,0.84,10.51,37.29,114,Moderate
